panel,sample,term,b,se,p,n
TCI_full_direct,VNM2015,FSTSc,1.1395,0.5391,0.0345,956
TCI_full_direct,VNM2015,FSTSc2,-2.0878,0.7479,0.0052,956
TCI_full_direct,VNM2015,TCI_full_z,0.0563,0.0492,0.2529,956
TCI_full_direct,VNM2015,DAI_z,-0.0326,0.0507,0.5202,956
TCI_full_moderation,VNM2015,FSTSc,1.3467,0.5978,0.0243,956
TCI_full_moderation,VNM2015,FSTSc2,-2.3499,0.8285,0.0046,956
TCI_full_moderation,VNM2015,TCI_full_z,0.0037,0.0722,0.9597,956
TCI_full_moderation,VNM2015,FSTSc_TCIfull,-0.5453,0.4948,0.2704,956
TCI_full_moderation,VNM2015,FSTSc2_TCIfull,0.6409,0.6939,0.3557,956
TCI_full_moderation,VNM2015,joint_F_TCI_full_interactions,0.7096,,0.4921,956
TCI_full_direct,VNM2023,FSTSc,0.6754,0.4747,0.1548,1013
TCI_full_direct,VNM2023,FSTSc2,-1.2663,0.6459,0.0499,1013
TCI_full_direct,VNM2023,TCI_full_z,0.096,0.0425,0.0237,1013
TCI_full_direct,VNM2023,DAI_z,0.0967,0.0465,0.0374,1013
TCI_full_moderation,VNM2023,FSTSc,0.9488,0.5737,0.0981,1013
TCI_full_moderation,VNM2023,FSTSc2,-1.5792,0.7774,0.0422,1013
TCI_full_moderation,VNM2023,TCI_full_z,0.1169,0.0487,0.0164,1013
TCI_full_moderation,VNM2023,FSTSc_TCIfull,-0.3168,0.3144,0.3137,1013
TCI_full_moderation,VNM2023,FSTSc2_TCIfull,0.185,0.4313,0.6679,1013
TCI_full_moderation,VNM2023,joint_F_TCI_full_interactions,1.8868,,0.1521,1013
DAI_rich_2023_DAI_rich_cont,VNM2023,FSTSc,1.0325,0.5689,0.0695,1013
DAI_rich_2023_DAI_rich_cont,VNM2023,FSTSc2,-1.7445,0.7566,0.0211,1013
DAI_rich_2023_DAI_rich_cont,VNM2023,TCI_z,0.1264,0.0448,0.0048,1013
DAI_rich_2023_DAI_rich_cont,VNM2023,DAI_rich_cont_z,-0.0045,0.0831,0.9568,1013
DAI_rich_2023_DAI_rich_cont,VNM2023,FSTSc_DAI_rich_cont,-0.9326,0.5259,0.0762,1013
DAI_rich_2023_DAI_rich_cont,VNM2023,FSTSc2_DAI_rich_cont,1.0516,0.7219,0.1452,1013
DAI_rich_2023_DAI_rich_cont,VNM2023,joint_F_DAI_rich_interactions,2.3148,,0.0993,1013
DAI_rich_2023_DAI_rich_bin,VNM2023,FSTSc,1.0023,0.6071,0.0987,1013
DAI_rich_2023_DAI_rich_bin,VNM2023,FSTSc2,-1.7068,0.8127,0.0357,1013
DAI_rich_2023_DAI_rich_bin,VNM2023,TCI_z,0.1285,0.045,0.0043,1013
DAI_rich_2023_DAI_rich_bin,VNM2023,DAI_rich_bin_z,-0.0094,0.1004,0.9256,1013
DAI_rich_2023_DAI_rich_bin,VNM2023,FSTSc_DAI_rich_bin,-0.8931,0.6488,0.1686,1013
DAI_rich_2023_DAI_rich_bin,VNM2023,FSTSc2_DAI_rich_bin,1.0381,0.8782,0.2372,1013
DAI_rich_2023_DAI_rich_bin,VNM2023,joint_F_DAI_rich_interactions,1.4181,,0.2427,1013
DAI_thin_on_rich_sample_2023,VNM2023,FSTSc,1.0723,0.4928,0.0296,1013
DAI_thin_on_rich_sample_2023,VNM2023,FSTSc2,-1.7933,0.6657,0.0071,1013
DAI_thin_on_rich_sample_2023,VNM2023,TCI_z,0.1286,0.0451,0.0043,1013
DAI_thin_on_rich_sample_2023,VNM2023,DAI_z,-0.0111,0.073,0.8796,1013
DAI_thin_on_rich_sample_2023,VNM2023,FSTSc_DAIz,-0.9121,0.4503,0.0428,1013
DAI_thin_on_rich_sample_2023,VNM2023,FSTSc2_DAIz,1.0428,0.633,0.0995,1013
DAI_thin_on_rich_sample_2023,VNM2023,joint_F_DAI_thin_interactions,2.7833,,0.0623,1013
micro_excluded_pooled,VNMpooled_l1ge10,FSTSc,0.7941,0.3011,0.0084,2473
micro_excluded_pooled,VNMpooled_l1ge10,FSTSc2,-1.6472,0.4338,0.0001,2473
micro_excluded_pooled,VNMpooled_l1ge10,TCI_z,0.1882,0.0279,0.0,2473
micro_excluded_pooled,VNMpooled_l1ge10,DAI_z,0.0542,0.051,0.2877,2473
micro_excluded_pooled,VNMpooled_l1ge10,FSTSc_DAIz,-0.3868,0.2813,0.1691,2473
micro_excluded_pooled,VNMpooled_l1ge10,FSTSc2_DAIz,0.4054,0.4165,0.3304,2473
micro_excluded_pooled,VNMpooled_l1ge10,joint_F_DAI_interactions,1.7902,,0.1671,2473
sector_split_manufacturing,M2,FSTSc,0.9712,0.2965,0.0011,1854
sector_split_manufacturing,M2,FSTSc2,-1.8828,0.4256,0.0,1854
sector_split_manufacturing,M7,FSTSc,0.6625,0.2962,0.0253,1854
sector_split_manufacturing,M7,FSTSc2,-1.3822,0.428,0.0012,1854
sector_split_manufacturing,M7,TCI_z,0.223,0.0325,0.0,1854
sector_split_manufacturing,M7,DAI_z,0.0873,0.0334,0.0089,1854
sector_split_manufacturing,M8,FSTSc,0.8399,0.3275,0.0103,1854
sector_split_manufacturing,M8,FSTSc2,-1.6237,0.4726,0.0006,1854
sector_split_manufacturing,M8,TCI_z,0.2276,0.0325,0.0,1854
sector_split_manufacturing,M8,DAI_z,0.0341,0.0573,0.5521,1854
sector_split_manufacturing,M8,FSTSc_DAIz,-0.5432,0.3096,0.0793,1854
sector_split_manufacturing,M8,FSTSc2_DAIz,0.6261,0.4566,0.1703,1854
sector_split_manufacturing,VNMpooled,joint_F_DAI_interactions_M8,2.2806,,0.1025,1854
sector_split_manufacturing,VNMpooled,joint_F_TCI_interactions_M3,4.571,,0.0105,1854
sector_split_manufacturing,VNMpooled,N,1854.0,,,1854
sector_split_non_manufacturing,M2,FSTSc,1.6153,0.8704,0.0635,1104
sector_split_non_manufacturing,M2,FSTSc2,-2.479,1.2445,0.0464,1104
sector_split_non_manufacturing,M7,FSTSc,1.3496,0.8903,0.1296,1104
sector_split_non_manufacturing,M7,FSTSc2,-2.0389,1.2746,0.1097,1104
sector_split_non_manufacturing,M7,TCI_z,0.0896,0.0539,0.096,1104
sector_split_non_manufacturing,M7,DAI_z,0.0681,0.0453,0.1331,1104
sector_split_non_manufacturing,M8,FSTSc,1.387,0.8677,0.1099,1104
sector_split_non_manufacturing,M8,FSTSc2,-2.1147,1.2372,0.0874,1104
sector_split_non_manufacturing,M8,TCI_z,0.0912,0.0539,0.0907,1104
sector_split_non_manufacturing,M8,DAI_z,0.0599,0.1216,0.6222,1104
sector_split_non_manufacturing,M8,FSTSc_DAIz,-0.1902,0.7193,0.7914,1104
sector_split_non_manufacturing,M8,FSTSc2_DAIz,-0.3412,1.0648,0.7486,1104
sector_split_non_manufacturing,VNMpooled,joint_F_DAI_interactions_M8,1.2729,,0.2804,1104
sector_split_non_manufacturing,VNMpooled,joint_F_TCI_interactions_M3,4.9441,,0.0073,1104
sector_split_non_manufacturing,VNMpooled,N,1104.0,,,1104
exporter_only,M2,FSTSc,-0.6113,0.2425,0.0117,281
exporter_only,M2,FSTSc2,1.6741,0.8533,0.0498,281
exporter_only,M7,FSTSc,-0.4095,0.2379,0.0852,281
exporter_only,M7,FSTSc2,1.5846,0.8542,0.0636,281
exporter_only,M7,TCI_z,0.1488,0.0769,0.053,281
exporter_only,M7,DAI_z,0.1915,0.0903,0.034,281
exporter_only,M8,FSTSc,-0.4032,0.2624,0.1244,281
exporter_only,M8,FSTSc2,1.377,0.9185,0.1338,281
exporter_only,M8,TCI_z,0.1468,0.0771,0.0569,281
exporter_only,M8,DAI_z,0.0755,0.1432,0.5981,281
exporter_only,M8,FSTSc_DAIz,0.0782,0.2382,0.7428,281
exporter_only,M8,FSTSc2_DAIz,0.802,0.8742,0.3589,281
exporter_only,VNM2009_exp,joint_F_DAI_M8,0.4235,,0.6552,281
exporter_only,VNM2009_exp,N,281.0,,,281
exporter_only,M2,FSTSc,-0.7732,0.29,0.0077,198
exporter_only,M2,FSTSc2,-2.2037,0.957,0.0213,198
exporter_only,M7,FSTSc,-0.7714,0.2965,0.0093,198
exporter_only,M7,FSTSc2,-2.619,0.9571,0.0062,198
exporter_only,M7,TCI_z,0.2423,0.0712,0.0007,198
exporter_only,M7,DAI_z,-0.2117,0.1121,0.059,198
exporter_only,M8,FSTSc,-0.6717,0.3007,0.0255,198
exporter_only,M8,FSTSc2,-2.7187,1.1468,0.0178,198
exporter_only,M8,TCI_z,0.2372,0.0714,0.0009,198
exporter_only,M8,DAI_z,-0.1766,0.2024,0.383,198
exporter_only,M8,FSTSc_DAIz,-0.3351,0.2767,0.226,198
exporter_only,M8,FSTSc2_DAIz,-0.1716,1.0959,0.8756,198
exporter_only,VNM2015_exp,joint_F_DAI_M8,0.7344,,0.4812,198
exporter_only,VNM2015_exp,N,198.0,,,198
exporter_only,M2,FSTSc,-0.9105,0.335,0.0066,190
exporter_only,M2,FSTSc2,-1.4607,1.16,0.2079,190
exporter_only,M7,FSTSc,-0.856,0.3444,0.0129,190
exporter_only,M7,FSTSc2,-1.3971,1.1715,0.233,190
exporter_only,M7,TCI_z,0.0607,0.0671,0.3659,190
exporter_only,M7,DAI_z,0.0372,0.086,0.6655,190
exporter_only,M8,FSTSc,-1.0795,0.3315,0.0011,190
exporter_only,M8,FSTSc2,-2.9214,1.0938,0.0076,190
exporter_only,M8,TCI_z,0.0802,0.0673,0.2335,190
exporter_only,M8,DAI_z,-0.2707,0.1407,0.0543,190
exporter_only,M8,FSTSc_DAIz,0.5101,0.2945,0.0832,190
exporter_only,M8,FSTSc2_DAIz,2.6762,1.0208,0.0087,190
exporter_only,VNM2023_exp,joint_F_DAI_M8,3.4455,,0.0341,190
exporter_only,VNM2023_exp,N,190.0,,,190
exporter_only,M2,FSTSc,-0.8607,0.1668,0.0,669
exporter_only,M2,FSTSc2,-0.2003,0.5812,0.7303,669
exporter_only,M7,FSTSc,-0.7041,0.1726,0.0,669
exporter_only,M7,FSTSc2,-0.1724,0.577,0.7651,669
exporter_only,M7,TCI_z,0.1782,0.0419,0.0,669
exporter_only,M7,DAI_z,0.0659,0.057,0.2473,669
exporter_only,M8,FSTSc,-0.6832,0.1833,0.0002,669
exporter_only,M8,FSTSc2,-0.4968,0.643,0.4397,669
exporter_only,M8,TCI_z,0.1789,0.0418,0.0,669
exporter_only,M8,DAI_z,-0.0251,0.1037,0.8088,669
exporter_only,M8,FSTSc_DAIz,-0.001,0.1636,0.9953,669
exporter_only,M8,FSTSc2_DAIz,0.7021,0.6248,0.2611,669
exporter_only,VNMpooled_exp,joint_F_DAI_M8,0.7733,,0.4619,669
exporter_only,VNMpooled_exp,N,669.0,,,669
wave_interaction_pooled,VNMpooled,joint_F_FSTSc_x_wave,0.8901,,0.4107,2958
wave_interaction_pooled,VNMpooled,joint_F_FSTSc2_x_wave,0.7756,,0.4605,2958
wave_interaction_pooled,VNMpooled,joint_F_DAIz_x_wave,4.1656,,0.0156,2958
wave_interaction_pooled,VNMpooled,joint_F_TCIz_x_wave,1.1156,,0.3278,2958
wave_interaction_pooled,VNMpooled,joint_F_all_wave_interactions,2.0664,,0.0357,2958
common_N_reconciled_2023,M8,FSTSc,1.0723,0.4928,0.0296,1013
common_N_reconciled_2023,M8,FSTSc2,-1.7933,0.6657,0.0071,1013
common_N_reconciled_2023,M8,TCI_z,0.1286,0.0451,0.0043,1013
common_N_reconciled_2023,M8,DAI_z,-0.0111,0.073,0.8796,1013
common_N_reconciled_2023,M8,FSTSc_DAIz,-0.9121,0.4503,0.0428,1013
common_N_reconciled_2023,M8,FSTSc2_DAIz,1.0428,0.633,0.0995,1013
common_N_reconciled_2023,VNM2023,joint_F_DAI_M8,2.7833,,0.0623,1013
PSM_J_NN1_caliper005,VNMpooled,ATT_DAI_treat,0.2982,0.0611,0.0,1085
PSM_J_kernel_bw006,VNMpooled,ATT_DAI_treat,0.3214,0.0431,0.0,1085
PSM_J_NN1_caliper005,VNMpooled,ATT_TCI_treat,0.6372,0.0775,0.0,644
PSM_J_kernel_bw006,VNMpooled,ATT_TCI_treat,0.609,0.0555,0.0,639
IV_2SLS_K_DAI,VNMpooled,DAI_z (instrumented),0.0181,0.2493,0.9421,2298
IV_2SLS_K_DAI,VNMpooled,first_stage_F (DAI on DAI_iv),34.622,,,2298
IV_2SLS_K_TCI,VNMpooled,TCI_z (instrumented),1.6392,0.2992,0.0,2298
IV_2SLS_K_TCI,VNMpooled,first_stage_F (TCI on TCI_iv),22.088,,,2298
