study_id,author,year,confidence,current_doi,doi_source,title_hint,scholar_search,VERIFIED_DOI,NO_DOI_reason,notes
S03,Sambharya,1995,none,,,The combined effect of international diversification and product diversification strategies on the performance of U.S.-based multinational corporations,https://scholar.google.com/scholar?q=The+combined+effect+of+international+diversification+and+product+diversification+strategies+on+the+performance+of+U.S.-based+multinational+corporations,,,
S07,Wan,1998,none,,,,https://scholar.google.com/scholar?q=Wan+1998,,,
S13,Ruigrok & Wagner,2003,none,,,Internationalization and performance: An organizational learning perspective,https://scholar.google.com/scholar?q=Internationalization+and+performance%3A+An+organizational+learning+perspective,,,
S78,Buckley & Tian,2017,none,,,,https://scholar.google.com/scholar?q=Buckley+%26+Tian+2017,,,
S93,Juniati et al.,2019,none,,,Internationalization and performance: Evidence from Indonesian firms,https://scholar.google.com/scholar?q=Internationalization+and+performance%3A+Evidence+from+Indonesian+firms,,,
S111,Daniels & Bracker,1989,none,,,Performance effects of internationalization: Contingency theory analysis of Russian internationalized firms,https://scholar.google.com/scholar?q=Performance+effects+of+internationalization%3A+Contingency+theory+analysis+of+Russian+internationalized+firms,,,
S112,"Geringer, Beamish & daCosta",1989,none,,,Interdependence relationship of internationalization-performance in manufacturing firms listed in Indonesia Stock Exchange and Chinese Stock Exchanges. In,https://scholar.google.com/scholar?q=Interdependence+relationship+of+internationalization-performance+in+manufacturing+firms+listed+in+Indonesia+Stock+Exchange+and+Chinese+Stock+Exchanges.+In,,,
S114,Sullivan,1994,none,,,The existence of W-shaped relationship between internationalization and firm performance: An empirical study of enterprises in Cameroon,https://scholar.google.com/scholar?q=The+existence+of+W-shaped+relationship+between+internationalization+and+firm+performance%3A+An+empirical+study+of+enterprises+in+Cameroon,,,
S115,Ramaswamy,1995,none,,,Relationship between internationalization and financial performance: Evidence from ENR-listed Chinese firms,https://scholar.google.com/scholar?q=Relationship+between+internationalization+and+financial+performance%3A+Evidence+from+ENR-listed+Chinese+firms,,,
S119,"Bloodgood, Sapienza & Almeida",1996,none,,,The relationship between extent of internationalization and firm performance (Taiwan 1992–2017),https://scholar.google.com/scholar?q=The+relationship+between+extent+of+internationalization+and+firm+performance+%28Taiwan+1992%E2%80%932017%29,,,
S120,Pangarkar & Yuan,2009,none,,,The dual mechanism of social networks on the relationship between internationalization and firm performance: Empirical evidence from China,https://scholar.google.com/scholar?q=The+dual+mechanism+of+social+networks+on+the+relationship+between+internationalization+and+firm+performance%3A+Empirical+evidence+from+China,,,
S124,"Klier, Schwens, Zapkau & Dikova",2017,none,,,Managerial ties and firm performance in a transition economy: The nature of a micro-macro link,https://scholar.google.com/scholar?q=Managerial+ties+and+firm+performance+in+a+transition+economy%3A+The+nature+of+a+micro-macro+link,,,
S131,Dobbs & Hamilton,2007,none,,,Internationalization and firm performance,https://scholar.google.com/scholar?q=Internationalization+and+firm+performance,,,
S134,Pinheiro-Alves,2011,none,,,The effects of the degree of internationalization on export performance,https://scholar.google.com/scholar?q=The+effects+of+the+degree+of+internationalization+on+export+performance,,,
S139,"Aulakh, Kotabe & Teegen",2000,none,,,"Export strategies and performance of firms from emerging economies: Evidence from Brazil, Chile, and Mexico",https://scholar.google.com/scholar?q=Export+strategies+and+performance+of+firms+from+emerging+economies%3A+Evidence+from+Brazil%2C+Chile%2C+and+Mexico,,,
S142,Gomez-Mejia & Palich,1997,none,,,Cultural diversity and the performance of multinational firms,https://scholar.google.com/scholar?q=Cultural+diversity+and+the+performance+of+multinational+firms,,,
S150,"Geringer, Tallman & Olsen",2000,none,,,Product and international diversification among Japanese multinational firms,https://scholar.google.com/scholar?q=Product+and+international+diversification+among+Japanese+multinational+firms,,,
S151,Michel & Shaked,1986,none,,,Multinational corporations vs. domestic corporations: Financial performance and characteristics,https://scholar.google.com/scholar?q=Multinational+corporations+vs.+domestic+corporations%3A+Financial+performance+and+characteristics,,,
S152,Morck & Yeung,1991,none,,,Why investors value multinationality,https://scholar.google.com/scholar?q=Why+investors+value+multinationality,,,
S153,Wan & Hoskisson,2003,none,,,"Home country environments, corporate diversification strategies, and firm performance",https://scholar.google.com/scholar?q=Home+country+environments%2C+corporate+diversification+strategies%2C+and+firm+performance,,,
S155,"Luo, Zhao & Du",2005,none,,,,https://scholar.google.com/scholar?q=Luo%2C+Zhao+%26+Du+2005,,,
S156,"Bobillo, López-Iturriaga & Tejerina-Gaite",2010,none,,,,https://scholar.google.com/scholar?q=Bobillo%2C+L%C3%B3pez-Iturriaga+%26+Tejerina-Gaite+2010,,,
S157,Boehe & Cruz,2010,none,,,,https://scholar.google.com/scholar?q=Boehe+%26+Cruz+2010,,,
S163,Ogasavara & Hoshino,2007,none,,,The effect of entry strategy and inter-firm trust on the survival of Japanese FDI in Brazil,https://scholar.google.com/scholar?q=The+effect+of+entry+strategy+and+inter-firm+trust+on+the+survival+of+Japanese+FDI+in+Brazil,,,
S164,"Gao, Murray, Kotabe & Lu",2010,none,,,,https://scholar.google.com/scholar?q=Gao%2C+Murray%2C+Kotabe+%26+Lu+2010,,,
S165,Doukas & Kan,2006,none,,,,https://scholar.google.com/scholar?q=Doukas+%26+Kan+2006,,,
S166,Castellacci,2015,none,,,,https://scholar.google.com/scholar?q=Castellacci+2015,,,
S167,Reuber & Fischer,1997,none,,,,https://scholar.google.com/scholar?q=Reuber+%26+Fischer+1997,,,
S169,"Isobe, Makino & Montgomery",2000,none,,,"Resource commitment, entry timing, and market performance of foreign direct investments in emerging economies",https://scholar.google.com/scholar?q=Resource+commitment%2C+entry+timing%2C+and+market+performance+of+foreign+direct+investments+in+emerging+economies,,,
S170,Shan & Song,1997,none,,,,https://scholar.google.com/scholar?q=Shan+%26+Song+1997,,,
S171,"Buckley, Dunning & Pearce",1978,none,,,"The influence of firm size, industry, nationality, and degree of multinationality on the growth and profitability of the world’s largest firms",https://scholar.google.com/scholar?q=The+influence+of+firm+size%2C+industry%2C+nationality%2C+and+degree+of+multinationality+on+the+growth+and+profitability+of+the+world%E2%80%99s+largest+firms,,,
S174,"Ogasavara, Hoshino & Alberton",2016,none,,,,https://scholar.google.com/scholar?q=Ogasavara%2C+Hoshino+%26+Alberton+2016,,,
S176,Khattak & Shah,2022,none,,,,https://scholar.google.com/scholar?q=Khattak+%26+Shah+2022,,,
S181,Nguyen & Dinh,2022,none,,,,https://scholar.google.com/scholar?q=Nguyen+%26+Dinh+2022,,,
S184,Borkakoti & Dua,2023,none,,,,https://scholar.google.com/scholar?q=Borkakoti+%26+Dua+2023,,,
S193,García-Sánchez & Rama,2024,none,,,,https://scholar.google.com/scholar?q=Garc%C3%ADa-S%C3%A1nchez+%26+Rama+2024,,,
S195,Barłożewski & Trąpczyński (2021a),,none,,,Internationalization and firm performance in Polish firms,https://scholar.google.com/scholar?q=Internationalization+and+firm+performance+in+Polish+firms,,,EBER 2021 (Polish firms) DOI 10.15678/EBER.2021.090206; sample=97 firms 2006-2013; verify which study_id (n=97 -> likely S236)
S196,Barłożewski & Trąpczyński (2021b),,none,,,Internationalization and firm performance in Polish firms,https://scholar.google.com/scholar?q=Internationalization+and+firm+performance+in+Polish+firms,,,EBER 2021 (Polish firms) DOI 10.15678/EBER.2021.090206; sample=97 firms 2006-2013; verify which study_id (n=97 -> likely S236)
S216,Schmuck et al. (2022a),,none,,,,https://scholar.google.com/scholar?q=Schmuck+et+al.+%282022a%29+,,,
S236,Barłożewski & Trąpczyński (2021a),,none,,,Internationalization and firm performance in Polish firms,https://scholar.google.com/scholar?q=Internationalization+and+firm+performance+in+Polish+firms,,,EBER 2021 (Polish firms) DOI 10.15678/EBER.2021.090206; sample=97 firms 2006-2013; verify which study_id (n=97 -> likely S236)
S237,Barłożewski & Trąpczyński (2021b),,none,,,Internationalization and firm performance in Polish firms,https://scholar.google.com/scholar?q=Internationalization+and+firm+performance+in+Polish+firms,,,EBER 2021 (Polish firms) DOI 10.15678/EBER.2021.090206; sample=97 firms 2006-2013; verify which study_id (n=97 -> likely S236)
S09,Li,2001,suggested,10.2139/ssrn.305119,retrieval_candidate,,https://scholar.google.com/scholar?q=Li+2001,,,
S16,Kim et al.,2004,suggested,10.21739/ibr.2005.12.9.2.381,corpus_suggested,,https://scholar.google.com/scholar?q=Kim+et+al.+2004,,,
S32,Pangarkar,2008,suggested,10.1016/j.jwb.2007.11.009,corpus_suggested,,https://scholar.google.com/scholar?q=Pangarkar+2008,,,
S40,Pan et al.,2010,suggested,10.5897/ajbm.9000363,corpus_suggested,,https://scholar.google.com/scholar?q=Pan+et+al.+2010,,,
S41,Nielsen,2010,suggested,10.1108/s1571-5027(2010)00000230028,corpus_suggested,,https://scholar.google.com/scholar?q=Nielsen+2010,,,
S45,Zhang & Toppinen,2011,suggested,10.1505/ifor.13.1.96,corpus_suggested,,https://scholar.google.com/scholar?q=Zhang+%26+Toppinen+2011,,,
S48,Chang et al.,2012,suggested,10.1016/j.intman.2012.12.003,corpus_suggested,,https://scholar.google.com/scholar?q=Chang+et+al.+2012,,,
S49,Chen & Tan,2012,suggested,10.1016/j.jwb.2012.06.001,retrieval_candidate,,https://scholar.google.com/scholar?q=Chen+%26+Tan+2012,,,
S50,Li et al.,2012,suggested,10.1016/j.ibusrev.2013.03.001,retrieval_candidate,,https://scholar.google.com/scholar?q=Li+et+al.+2012,,,
S51,Pan & Tsai,2012,suggested,10.1016/j.ibusrev.2012.01.006,corpus_suggested,,https://scholar.google.com/scholar?q=Pan+%26+Tsai+2012,,,
S58,Xiao et al.,2013,suggested,10.1016/j.intman.2012.12.003,retrieval_candidate,,https://scholar.google.com/scholar?q=Xiao+et+al.+2013,,,
S59,De Jong & van Houten,2014,suggested,10.1108/ijchm-09-2012-0173,retrieval_candidate,,https://scholar.google.com/scholar?q=De+Jong+%26+van+Houten+2014,,,
S64,Nguyen & Rugman,2015,suggested,10.1017/mor.2016.13,corpus_suggested,,https://scholar.google.com/scholar?q=Nguyen+%26+Rugman+2015,,,
S65,Ren et al.,2015,suggested,10.1371/journal.pone.0162175,retrieval_candidate,,https://scholar.google.com/scholar?q=Ren+et+al.+2015,,,
S66,Chen et al.,2015,suggested,10.1016/j.jclepro.2015.12.105,retrieval_candidate,,https://scholar.google.com/scholar?q=Chen+et+al.+2015,,,
S67,Da Huo & Hung,2015,suggested,10.17230/ad-minister.29.1,retrieval_candidate,,https://scholar.google.com/scholar?q=Da+Huo+%26+Hung+2015,,,
S69,Altaf & Shah,2016,suggested,10.1016/j.psrb.2016.05.002,corpus_suggested,,https://scholar.google.com/scholar?q=Altaf+%26+Shah+2016,,,
S88,Thi Ngoc Huynh et al.,2018,suggested,10.3390/jrfm12030144,retrieval_candidate,,https://scholar.google.com/scholar?q=Thi+Ngoc+Huynh+et+al.+2018,,,
S95,Meyer et al.,2019,suggested,10.18461/ijfsd.v10i4.22,corpus_suggested,,https://scholar.google.com/scholar?q=Meyer+et+al.+2019,,,
S97,Woo et al.,2019,suggested,10.3390/joitmc5030052,retrieval_candidate,,https://scholar.google.com/scholar?q=Woo+et+al.+2019,,,
S98,Kim et al.,2020,suggested,10.3390/joitmc5030052,retrieval_candidate,,https://scholar.google.com/scholar?q=Kim+et+al.+2020,,,
S100,Tu et al.,2020,suggested,10.5267/j.dsl.2020.7.001,retrieval_candidate,,https://scholar.google.com/scholar?q=Tu+et+al.+2020,,,
S102,Kongkaew et al.,2021,suggested,10.3390/ijfs9030037,corpus_suggested,,https://scholar.google.com/scholar?q=Kongkaew+et+al.+2021,,,
S103,Nath et al.,2021,suggested,10.17762/ijnpme.v10i03.127,retrieval_candidate,,https://scholar.google.com/scholar?q=Nath+et+al.+2021,,,
S104,Tu et al.,2021,suggested,10.5267/j.dsl.2020.7.001,retrieval_candidate,,https://scholar.google.com/scholar?q=Tu+et+al.+2021,,,
S105,Tu,2021,suggested,10.5267/j.dsl.2020.7.001,retrieval_candidate,,https://scholar.google.com/scholar?q=Tu+2021,,,
S106,Tu & Anh,2021,suggested,10.5267/j.dsl.2020.7.001,retrieval_candidate,,https://scholar.google.com/scholar?q=Tu+%26+Anh+2021,,,
S107,Song & Lee,2021,suggested,10.7275/x78z-g422,retrieval_candidate,,https://scholar.google.com/scholar?q=Song+%26+Lee+2021,,,
S109,Purkayastha & Gupta,2022,suggested,10.1007/s10490-022-09809-w,corpus_suggested,,https://scholar.google.com/scholar?q=Purkayastha+%26+Gupta+2022,,,
S122,Luo & Tung,2015,suggested,10.1016/j.jwb.2015.06.001,corpus_suggested,,https://scholar.google.com/scholar?q=Luo+%26+Tung+2015,,,
S123,"García-García, García-Canal & Guillén",2017,suggested,10.1016/j.jwb.2016.09.005,corpus_suggested,,https://scholar.google.com/scholar?q=Garc%C3%ADa-Garc%C3%ADa%2C+Garc%C3%ADa-Canal+%26+Guill%C3%A9n+2017,,,
S130,"Shin, Kim & Seol",2022,suggested,10.35611/jkt.2021.25.7.1,retrieval_candidate,Capabilities and performance of early internationalizing firms,https://scholar.google.com/scholar?q=Capabilities+and+performance+of+early+internationalizing+firms,,,
S143,Chang & Wang,2007,suggested,10.1057/palgrave.abm.9200228,corpus_suggested,,https://scholar.google.com/scholar?q=Chang+%26+Wang+2007,,,
S144,Pangarkar,2008,suggested,10.1016/j.jwb.2007.11.009,corpus_suggested,,https://scholar.google.com/scholar?q=Pangarkar+2008,,,
S154,"Yiu, Lau & Bruton",2007,suggested,10.1057/palgrave.jibs.8400364,corpus_suggested,,https://scholar.google.com/scholar?q=Yiu%2C+Lau+%26+Bruton+2007,,,
S158,Singh & Gaur,2009,suggested,10.1002/tie.20217,retrieval_candidate,,https://scholar.google.com/scholar?q=Singh+%26+Gaur+2009,,,
S161,"Contractor, Kumar & Kundu",2007,suggested,10.1016/j.jwb.2007.06.003,corpus_suggested,,https://scholar.google.com/scholar?q=Contractor%2C+Kumar+%26+Kundu+2007,,,
S168,"Zhou, Wu & Luo",2007,suggested,10.1057/palgrave.jibs.8400282,corpus_suggested,,https://scholar.google.com/scholar?q=Zhou%2C+Wu+%26+Luo+2007,,,
S173,"Nguyen, Almodóvar & Martínez-Noya",2018,suggested,10.3390/jrfm12030144,retrieval_candidate,,https://scholar.google.com/scholar?q=Nguyen%2C+Almod%C3%B3var+%26+Mart%C3%ADnez-Noya+2018,,,
S175,Jo & Roth,2015,suggested,10.1111/jsbm.12241,retrieval_candidate,,https://scholar.google.com/scholar?q=Jo+%26+Roth+2015,,,
S179,"Chen, Zhang & Li",2022,suggested,10.5539/jms.v12n2p67,retrieval_candidate,,https://scholar.google.com/scholar?q=Chen%2C+Zhang+%26+Li+2022,,,
S182,Vo & Nguyen,2021,suggested,10.57110/jeb.v1i2.4497,retrieval_candidate,,https://scholar.google.com/scholar?q=Vo+%26+Nguyen+2021,,,
S183,Kim & Kim,2023,suggested,10.5539/jms.v12n2p67,retrieval_candidate,,https://scholar.google.com/scholar?q=Kim+%26+Kim+2023,,,
S186,"Torres, Kunc & O'Shannassy",2022,suggested,10.1057/s41267-022-00580-0,corpus_suggested,,https://scholar.google.com/scholar?q=Torres%2C+Kunc+%26+O%27Shannassy+2022,,,
S187,Cho & Lee,2023,suggested,10.33168/jsms.2023.0223,corpus_suggested,,https://scholar.google.com/scholar?q=Cho+%26+Lee+2023,,,
S188,Do & Phan,2025,suggested,10.5772/intechopen.1011012,retrieval_candidate,,https://scholar.google.com/scholar?q=Do+%26+Phan+2025,,,
S189,Do & Phan,2026,suggested,10.5772/intechopen.1011012,retrieval_candidate,,https://scholar.google.com/scholar?q=Do+%26+Phan+2026,,,
S192,Tu & Huynh,2021,suggested,10.5267/j.dsl.2020.7.001,retrieval_candidate,,https://scholar.google.com/scholar?q=Tu+%26+Huynh+2021,,,
S202,Da Cunha et al.,2023,suggested,10.1016/j.ibusrev.2023.102135,retrieval_candidate,,https://scholar.google.com/scholar?q=Da+Cunha+et+al.+2023,,,
