seq,title,year,doi,pdf_url,status,converted_r,n,conversion_formula,notes,error
25,"Investing Abroad, Transforming at Home: An Empirical Study of Outward Foreign Direct Investment and ",2024,10.2139/ssrn.4881126,,NO_PDF,,,,,
116,"Intangibles, Export Intensity, and Company Performance in the French Wine Industry",2013,10.1017/jwe.2013.27,,NO_PDF,,,,,
179,"Internationalization, innovation, and resilience: Financial performance of agricultural cooperatives",2025,10.1016/j.jrurstud.2025.103682,,NO_PDF,,,,,
186,Comparative Study on the Impact of Ownership Concentration on Internationalization and Performance: ,2025,10.35611/jkt.2025.29.6.173,,NO_PDF,,,,,
221,Examining the Impact of Internationalization and Competitive Advantages on Enterprise Performance in,2023,10.3390/su152115652,,NO_PDF,,,,,
270,Internationalization and Performance of SMEs in Masan Free Trade Zone (Korea): The Direct and Modera,2019,10.35611/jkt.2019.23.4.30,,NO_PDF,,,,,
277,"The impact of technology capability, human resources, internationalization, market resources, and cu",2018,10.1007/s10799-018-0287-2,unpaywall,NO_R_FOUND,,,none,No convertible statistic found,
282,Dimensional effects of Korean SME's entrepreneurial orientation on internationalization and performa,2018,10.1007/s11365-017-0457-4,,PDF_ERROR,,,,,PDF_READ_ERROR: No /Root object! - Is this really a PDF?
328,Productivity Heterogeneity and Internationalization: Evidence from Japanese Firms,2012,10.1177/097639961200300103,,NO_PDF,,,,,
470,Intellectual capital and firm efficiency of US multinational software firms,2022,10.1108/jic-02-2021-0041,,NO_PDF,,,,,
494,Impact of brand recognition and brand reputation on firm performance: US-based multinational restaur,2009,10.1016/j.ijhm.2009.04.002,,NO_PDF,,,,,
38,How does offshore outsourcing of knowledge-intensive activities affect the exports and financial per,2022,10.1057/s41267-022-00511-z,,NO_PDF,,,,,
46,'Letters to the editor': the relationship between multinationality and firm performance in emerging ,2021,10.1080/19186444.2020.1857122,,NO_PDF,,,,,
77,"Internationalization and the growth of Vietnamese micro, small, and medium sized enterprises: Eviden",2018,10.1016/j.asieco.2018.01.002,,NO_PDF,,,,,
88,An empirical analysis and extension of internalization theory in emerging markets: The role of firm-,2016,10.1016/j.jwb.2016.03.003,,NO_PDF,,,,,
89,The OFDI patterns and firm performance of Chinese firms: The moderating effects of multinationality ,2016,10.1016/j.ibusrev.2016.01.010,semantic_scholar,NO_R_FOUND,,4619,none,No convertible statistic found,
107,Performance of unlisted Italian companies acquired by multinationals from emerging markets The case ,2015,10.1108/jocm-12-2014-0233,,NO_PDF,,,,,
120,"FIRM SIZE, TECHNOLOGICAL CAPABILITY, EXPORTS AND ECONOMIC PERFORMANCE: THE CASE OF ELECTRONICS INDUS",2013,10.3846/16111699.2012.668860,unpaywall,NO_R_FOUND,,,none,No convertible statistic found,
121,"International Involvement, Target Market Selection, and Consolidated Performance: A Firm-Level Analy",2013,10.2753/ree1540-496x4905s413,,NO_PDF,,,,,
132,Does export and productivity growth linkage exist? Evidence from the Indian manufacturing industry,2011,10.1080/02692171.2011.557046,,NO_PDF,,,,,
162,Impact of productivity revolution on Chinese enterprises' outward foreign direct investment (OFDI),2026,10.1016/j.eap.2026.01.002,,NO_PDF,,,,,
172,Moderating roles of spatial and temporal internationalization on the product diversification-perform,2025,10.1057/s41291-024-00280-7,,NO_PDF,,,,,
176,"Does Maintaining Resources, Diversification, and Internationalization Matter for Achieving High Firm",2025,10.3390/su17041576,,NO_PDF,,,,,
182,Effects of internationalization on supply chain agility and business performance of manufacturing fi,2025,10.1108/jgoss-10-2024-0102,,NO_PDF,,,,,
197,"Environmental, social and governance performance: Can and how it improve internationalization of Chi",2024,10.1016/j.heliyon.2024.e33492,,NO_PDF,,,,,
201,Performance of cross-border acquirers from India and China: its sustainability in the long-run?,2024,10.1108/ribs-01-2023-0002,,NO_PDF,,,,,
224,Outward FDI and productivity promotion of exporting firms: firm-level evidence from China,2022,10.1108/ijoem-07-2020-0795,,NO_PDF,,,,,
226,Unbundling the Effects of Internationalization on Firm Performance in Emerging Economies: The Modera,2022,10.1177/1069031x211030686,,PDF_ERROR,,,,,PDF_READ_ERROR: No /Root object! - Is this really a PDF?
228,Internationalization and Productivity of Construction Firms in a Developing Country: The Effect of I,2022,10.1061/(asce)me.1943-5479.0000985,semantic_scholar,NO_R_FOUND,,86,none,No convertible statistic found,
247,Speed of internationalization and firm performance: the moderating role of potential slack and knowl,2021,10.1108/cms-06-2020-0249,,NO_PDF,,,,,
252,"Chinese multinationals' fast internationalization: Financial performance advantage in one region, di",2020,10.1057/s41267-019-00279-9,,NO_PDF,,,,,
263,"Internationalization speed, resources and performance: Evidence from Indian software industry",2019,10.1016/j.jbusres.2018.09.019,,NO_PDF,,,,,
266,Outward FDI and profitability of emerging economy firms: Diversifying from home resource dependence ,2019,10.1016/j.jwb.2019.04.002,unpaywall,NO_R_FOUND,,973,none,No convertible statistic found,
267,Foreign direct investment productivity premium and foreign affiliates' heterogeneity: A comparison b,2019,10.1111/twec.12837,,NO_PDF,,,,,
268,"R&D internationalization, product diversification and international performance for emerging market ",2019,10.1016/j.emj.2018.11.003,,NO_PDF,,,,,
286,Internationalization and Performance of Vietnamese Manufacturing Firms: Does Organizational Slack Ma,2018,10.3390/admsci8040064,,NO_PDF,,,,,
295,lInfluence of Chinese entrepreneurial companies' internationalization on independent innovation: Inp,2017,10.1016/j.cjar.2017.05.001,,NO_PDF,,,,,
301,EO-Performance relationships in Reverse Internationalization by Chinese Global Startup OEMs: Social ,2016,10.1371/journal.pone.0162175,unpaywall,NO_R_FOUND,,,none,No convertible statistic found,
303,"Founding Environment, Inward Internationalization, and Firm Performance: Evidence from Chinese Priva",2016,10.1080/10669868.2016.1215667,,NO_PDF,,,,,
308,Export marketing assistance and early internationalizing firm performance Does export commitment mat,2015,10.1108/apjml-03-2014-0045,,NO_PDF,,,,,
313,Internationalization and Performance of Chinese Family Firms: The Moderating Role of Corporate Gover,2015,10.1017/mor.2015.32,unpaywall,NO_R_FOUND,,,none,No convertible statistic found,
320,Chinese Outward Foreign Direct Investment Performance: The Role of Learning,2014,10.1017/s1740877600004381,,NO_PDF,,,,,
325,Internationalization and Performance of Firms in China: Moderating Effects of Governance Structure a,2013,10.1016/j.intman.2012.12.003,,NO_PDF,,,,,
344,"Subsidiary size, internationalization, product diversification, and performance in an emerging marke",2008,10.1108/02651330810915556,,NO_PDF,,,,,
460,"Exporting Like China: Productivity, Market Demand, and Labor Frictions",2026,10.1111/iere.70042,,NO_PDF,,,,,
468,"Survey data on organizational resources and capabilities, export marketing strategy, export competit",2023,10.1016/j.dib.2023.109112,https://doi.org/10.1016/j.dib.2023.109112,NO_PDF,,,,,
475,A Patulous Progress: International Entrepreneurship Effects on Chinese Born-Global Firm Performance,2020,10.3390/su12145508,,NO_PDF,,,,,
476,Do Export Activities Improve Small Firm Performance? Evidence from Indonesia,2020,10.21002/seam.v14i2.11771,https://doi.org/10.21002/seam.v14i2.11771,PDF_ERROR,,,,,PDF_READ_ERROR: No /Root object! - Is this really a PDF?
484,Does Exporting Spur Firm Productivity? Evidence from Vietnam,2015,10.1355/ae32-1e,,NO_PDF,,,,,
463,Finding the sweet spot: effects of exporting on the relationship between R&D investment and NPD perf,2025,10.1108/imr-02-2024-0039,https://durham-repository.worktribe.com/file/3318752/1/Accepted%20Journal%20Article,NO_PDF,,,,,
